web-scraper-order,web-scraper-start-url,cards,cards-href,tipo,cidade,bairro,quartos,suites,banheiros,vagas,area_construida,valor
1650152545-2053,https://www.lindalvoimoveis.com.br/imoveis/a-venda/rio-grande?quartos=1+&preco-de-venda=1+&area=1+&banheiros=1+&suites=0&vagas=0&ordenar=menor-valor&pagina=3,Detalhes,https://www.lindalvoimoveis.com.br/imovel/casa-com-2-dormitorios-a-venda-60-m-por-180000-cassino-rio-grande-rs/CA0872-LINL?from=sale,Casa,Rio Grande,Cassino,2 Quartos,0,1 Banheiro,0,"60 m²
 Área construída",180000
1650152676-2076,https://www.lindalvoimoveis.com.br/imoveis/a-venda/rio-grande?quartos=1+&preco-de-venda=1+&area=1+&banheiros=1+&suites=0&vagas=0&ordenar=menor-valor&pagina=5,Detalhes,https://www.lindalvoimoveis.com.br/imovel/apartamento-de-120-m-na-rua-general-bacelar-centro-rio-grande-rs-a-venda-por-320000/AP0645-LINL?from=sale,Apartamento,Rio Grande,Centro,3 Quartos,0,2 Banheiros,0,"120 m²
 Área útil",320000
1650152655-2072,https://www.lindalvoimoveis.com.br/imoveis/a-venda/rio-grande?quartos=1+&preco-de-venda=1+&area=1+&banheiros=1+&suites=0&vagas=0&ordenar=menor-valor&pagina=5,Detalhes,https://www.lindalvoimoveis.com.br/imovel/casa-de-100-m-na-rua-dom-bosco-miguel-de-castro-moreira-rio-grande-rs-a-venda-por-350000/CA0568-LINL?from=sale,Casa,Rio Grande,Miguel de Castro Moreira,2 Quartos,0,1 Banheiro,0,"100 m²
 Área construída",350000
1650152483-2042,https://www.lindalvoimoveis.com.br/imoveis/a-venda/rio-grande?quartos=1+&preco-de-venda=1+&area=1+&banheiros=1+&suites=0&vagas=0&ordenar=menor-valor&pagina=2,Detalhes,https://www.lindalvoimoveis.com.br/imovel/apartamento-de-48-m-na-estrada-roberto-socoowski-vila-sao-miguel-rio-grande-rs-a-venda-por-150000/AP0716-LINL?from=sale,Apartamento,Rio Grande,Vila São Miguel,2 Quartos,0,1 Banheiro,0,"48 m²
 Área útil",150000
1650152452-2036,https://www.lindalvoimoveis.com.br/imoveis/a-venda/rio-grande?quartos=1+&preco-de-venda=1+&area=1+&banheiros=1+&suites=0&vagas=0&ordenar=menor-valor&pagina=2,Detalhes,https://www.lindalvoimoveis.com.br/imovel/apartamento-com-2-dormitorios-a-venda-60-m-por-170000-cidade-nova-rio-grande-rs/AP0670-LINL?from=sale,Apartamento,Rio Grande,Cidade Nova,2 Quartos,0,1 Banheiro,0,"60 m²
 Área útil",170000
1650152619-2066,https://www.lindalvoimoveis.com.br/imoveis/a-venda/rio-grande?quartos=1+&preco-de-venda=1+&area=1+&banheiros=1+&suites=0&vagas=0&ordenar=menor-valor&pagina=4,Detalhes,https://www.lindalvoimoveis.com.br/imovel/boa-casa-sem-garagem/CA0527-LINL?from=sale,Casa,Rio Grande,Parque Residencial Salgado Filho,2 Quartos,0,1 Banheiro,0,"60 m²
 Área construída",230000
1650152723-2084,https://www.lindalvoimoveis.com.br/imoveis/a-venda/rio-grande?quartos=1+&preco-de-venda=1+&area=1+&banheiros=1+&suites=0&vagas=0&ordenar=menor-valor&pagina=6,Detalhes,https://www.lindalvoimoveis.com.br/imovel/apartamento-de-107-m-na-rua-henrique-bulle-cassino-rio-grande-rs-a-venda-por-450000/AP0048-LINL?from=sale,Apartamento,Rio Grande,Cassino,4 Quartos,0,2 Banheiros,0,"107 m²
 Área útil",450000
1650152525-2049,https://www.lindalvoimoveis.com.br/imoveis/a-venda/rio-grande?quartos=1+&preco-de-venda=1+&area=1+&banheiros=1+&suites=0&vagas=0&ordenar=menor-valor&pagina=3,Detalhes,https://www.lindalvoimoveis.com.br/imovel/aceita-financiamento-ou-permuta-por-casa-no-cassino/AP0678-LINL?from=sale,Apartamento,Rio Grande,Centro,2 Quartos,0,1 Banheiro,0,"64 m²
 Área útil",200000
1650152697-2080,https://www.lindalvoimoveis.com.br/imoveis/a-venda/rio-grande?quartos=1+&preco-de-venda=1+&area=1+&banheiros=1+&suites=0&vagas=0&ordenar=menor-valor&pagina=5,Detalhes,https://www.lindalvoimoveis.com.br/imovel/casa-com-2-dormitorios-terreno-de-esquina-com-medidas-diferenciadas-cassino-rio-grande-rs/CA0897-LINL?from=sale,Casa,Rio Grande,Cassino,2 Quartos,0,1 Banheiro,0,"110 m²
 Área construída",290000
1650152645-2070,https://www.lindalvoimoveis.com.br/imoveis/a-venda/rio-grande?quartos=1+&preco-de-venda=1+&area=1+&banheiros=1+&suites=0&vagas=0&ordenar=menor-valor&pagina=5,Detalhes,https://www.lindalvoimoveis.com.br/imovel/casa-de-230-m-na-rua-matheo-tonietti-parque-residencial-salgado-filho-rio-grande-rs-a-venda-por-395000/CA0513-LINL?from=sale,Casa,Rio Grande,Parque Residencial Salgado Filho,4 Quartos,0,2 Banheiros,0,"230 m²
 Área construída",395000
1650152431-2033,https://www.lindalvoimoveis.com.br/imoveis/a-venda/rio-grande?quartos=1+&preco-de-venda=1+&area=1+&banheiros=1+&suites=0&vagas=0&ordenar=menor-valor&pagina=1,Detalhes,https://www.lindalvoimoveis.com.br/imovel/casa-de-150-m-na-rua-principal-distrito-domingos-petroline-rio-grande-rs-a-venda-por-85000/CA0789-LINL?from=sale,Casa,Rio Grande,Distrito Domingos Petroline,2 Quartos,0,1 Banheiro,0,"150 m²
 Área construída",85000
1650152561-2056,https://www.lindalvoimoveis.com.br/imoveis/a-venda/rio-grande?quartos=1+&preco-de-venda=1+&area=1+&banheiros=1+&suites=0&vagas=0&ordenar=menor-valor&pagina=3,Detalhes,https://www.lindalvoimoveis.com.br/imovel/sobrado-de-100-m-na-rua-sao-jose-do-norte-vila-maria-jose-rio-grande-rs-a-venda-por-170000/SO0136-LINL?from=sale,Sobrado,Rio Grande,Vila Maria José,2 Quartos,0,1 Banheiro,0,"100 m²
 Área construída",170000
1650152728-2085,https://www.lindalvoimoveis.com.br/imoveis/a-venda/rio-grande?quartos=1+&preco-de-venda=1+&area=1+&banheiros=1+&suites=0&vagas=0&ordenar=menor-valor&pagina=6,Detalhes,https://www.lindalvoimoveis.com.br/imovel/apartamento-de-100-m-na-rua-andradas-centro-rio-grande-rs-a-venda-por-430000/AP0155-LINL?from=sale,Apartamento,Rio Grande,Centro,3 Quartos,0,2 Banheiros,0,"100 m²
 Área útil",430000
1650152462-2038,https://www.lindalvoimoveis.com.br/imoveis/a-venda/rio-grande?quartos=1+&preco-de-venda=1+&area=1+&banheiros=1+&suites=0&vagas=0&ordenar=menor-valor&pagina=2,Detalhes,https://www.lindalvoimoveis.com.br/imovel/sobrado-com-2-dormitorios-a-venda-150-m-por-160000-zona-portuaria-rio-grande-rs/SO0167-LINL?from=sale,Sobrado,Rio Grande,Zona Portuária,2 Quartos,0,2 Banheiros,0,"150 m²
 Área construída",160000
1650152587-2060,https://www.lindalvoimoveis.com.br/imoveis/a-venda/rio-grande?quartos=1+&preco-de-venda=1+&area=1+&banheiros=1+&suites=0&vagas=0&ordenar=menor-valor&pagina=4,Detalhes,https://www.lindalvoimoveis.com.br/imovel/casa-de-80-m-na-rua-visconde-do-rio-branco-cidade-nova-rio-grande-rs-a-venda-por-260000/CA0511-LINL?from=sale,Casa,Rio Grande,Cidade Nova,2 Quartos,0,1 Banheiro,0,"80 m²
 Área construída",260000
1650152712-2082,https://www.lindalvoimoveis.com.br/imoveis/a-venda/rio-grande?quartos=1+&preco-de-venda=1+&area=1+&banheiros=1+&suites=0&vagas=0&ordenar=menor-valor&pagina=6,Detalhes,https://www.lindalvoimoveis.com.br/imovel/casa-de-140-m-na-rua-professor-fernando-eduardo-freire-cassino-rio-grande-rs-a-venda-por-530000/CA0051-LINL?from=sale,Casa,Rio Grande,Cassino,3 Quartos,0,3 Banheiros,0,"140 m²
 Área construída",530000
